region,origin_coord,destination_coord,datetime,datasource
ahzvkonwjvvirwvlbrim,POINT (57.5925882160469 96.3602686404879),POINT (90.264359176747 83.5998565867082),2023-01-19-17:50:04,jermmpjxbiggqsagqpej
ydxfqrujozhwmqvgpvhf,POINT (17.4037446049295 49.2332369106173),POINT (7.0084705631044 40.4745473052803),2023-01-19-17:50:04,gnrzhlaggmngeacipqvz
ppmxrhjeegynkiqsjtko,POINT (44.9932101768074 60.2817229479778),POINT (79.182091062456 32.5780105144989),2023-01-19-17:50:04,ktedezjzepzpdozprrmr
ooqzazrfohuxqgyizyhr,POINT (33.9242664812748 8.6797881272477),POINT (31.4063610710193 33.2905258525073),2023-01-19-17:50:04,czeebhpsuyjtgfwcctcs
ymiwnjmozphgbtbmoqgu,POINT (32.6895188526921 73.3288062122046),POINT (90.1250073435305 28.9158597428269),2023-01-19-17:50:04,sgafzvrcmznpfjapfvll
ltqvzkldgabpbifbqyws,POINT (43.7077655527606 91.8486458557741),POINT (26.6624486347682 68.5725328187107),2023-01-19-17:50:05,lzviaueeiyqgzdnfzauv
ezasedddkgxdrixptadp,POINT (87.6143572111715 55.517119406344),POINT (16.2679123616197 84.2217114455496),2023-01-19-17:50:05,ftvhtrzybmgsveahzpve
wdovkhebtdfeowqplrqe,POINT (3.5058616915644 4.2388985916584),POINT (89.6612331585229 93.7986303607076),2023-01-19-17:50:05,jjyelwbddafltqvfezrv
xgazmcsvpuubeqqarspy,POINT (72.162807976148 66.9038659023201),POINT (40.1888580908346 88.7475505686016),2023-01-19-17:50:05,klsnywjcramesszzrdiv
ozxqbuwhqfqgqqqaarje,POINT (58.6548118684119 24.6230869046884),POINT (89.1649011149915 44.1006741135082),2023-01-19-17:50:05,uujueszukatipgcxbysf
rwnnafttkjbxpgyniwzn,POINT (10.37857139917 20.0094828905231),POINT (75.8100087920193 10.6308887891229),2023-01-19-17:50:05,dxmnucheuucibpjzonwo
mwszpwhnggipgpzzgsee,POINT (97.0915571870287 49.5496057018463),POINT (61.0174686681559 83.3560919173857),2023-01-19-17:50:05,ncxatydlwkmxqwamyqre
bcmwzpmgsookcnikshhk,POINT (91.1604417949876 30.7766964513811),POINT (89.9116389714362 23.9942484022344),2023-01-19-17:50:05,qshfowgbdidhzkjkgczg
sjibanvzposffyopruwg,POINT (47.560211667748 44.5387369149408),POINT (31.9335802834824 36.1953284940497),2023-01-19-17:50:05,oscwisdzcgxnfdddovgm
xnqrlojxvlstsiwbnhps,POINT (36.6013959299443 78.5318525609182),POINT (64.902045846287 70.0979999561571),2023-01-19-17:50:05,coynhkojtzerkvvgzixw
dmyaahxcwsxozgefbfhd,POINT (55.5784527379067 17.9407606191791),POINT (17.8247683624503 75.0101455461492),2023-01-19-17:50:05,wayxjmbhaydmukxulogv
gspbuiumxgemrhxbwynh,POINT (78.363388133039 92.458468047686),POINT (83.41343995177 41.5155229671839),2023-01-19-17:50:05,tdzqcsclsooaelymkrue
xyyaoxzexnwyrtfnswmx,POINT (80.5365584249867 28.4987460112001),POINT (56.425934462354 40.4840657205539),2023-01-19-17:50:05,pqmaxakaishnmgqtvoyt
llwjihbrwmswpwjirnoi,POINT (18.4393276794074 12.3539680653646),POINT (71.112718909461 14.4159365052434),2023-01-19-17:50:05,asujvezbcovvpkfjdfnn
